#timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1276778265694	-2.8738933	0.7627395	8.62168	-0.6866493	0.0	25.25	4.0625	-36.9375	-2.3385882	1.2386957	1.3113742
1276778265725	-2.982856	0.38136974	8.812365	-0.49533272	0.0	22.9375	4.5625	-38.75	-2.4212582	1.2419462	1.4436324
1276778265754	-3.2961242	0.3405087	9.466142	0.22271824	0.0	20.6875	6.0625	-39.5	-2.1876156	1.2340729	1.4678557
1276778265794	-3.2961242	0.38136974	9.656827	0.40433407	0.0	19.6875	6.8125	-40.5	-2.0414522	1.2398317	1.4556061
1276778265834	-3.405087	0.42223078	9.575105	0.3646593	0.0	17.1875	8.6875	-22.0625	-2.1872861	1.226709	1.4474261
1276778265865	-3.5276701	0.53119355	9.888372	0.7055588	0.0	17.9375	8.9375	-21.3125	-2.1898887	1.2245582	1.42134
1276778265904	-4.1814466	0.23154591	10.501288	1.4988871	0.0	18.9375	8.9375	-21.3125	-2.3165326	1.19133	1.5154783
1276778265935	-4.7943625	0.19068487	12.108489	3.2178574	0.0	19.4375	8.4375	-20.5625	-2.406019	1.1935152	1.5310446
1276778265964	-4.7126403	0.38136974	12.980191	4.007827	0.0	20.1875	8.4375	-20.0625	-2.4196498	1.2214828	1.4900475
1276778266004	-4.5900574	0.0	12.53072	3.5382948	0.0	20.4375	7.9375	-20.0625	-2.568138	1.219671	1.5707964
1276778266044	-4.2086873	0.0	11.34575	2.2945518	0.0	20.6875	7.6875	-19.8125	-2.59041	1.2155825	1.5707964
1276778266084	-5.6252036	-1.607201	8.539958	0.5450115	0.0	20.9375	8.1875	-19.8125	-2.8576758	0.9701743	1.849096
1276778266124	-4.440233	-0.61291564	8.430995	-0.25819397	0.0	20.4375	8.4375	-20.5625	-2.5997207	1.0821507	1.7079663
1276778266164	-3.0645783	-0.42223078	6.973618	-2.1776748	0.0	19.6875	9.6875	-21.0625	-2.5593784	1.1532735	1.707712
1276778266204	-3.1463003	-0.08172209	7.43671	-1.7313461	0.0	18.1875	10.1875	-22.0625	-2.2832022	1.1704347	1.5967646
1276778266244	-1.9885708	0.08172209	7.7772183	-1.7788095	0.0	16.6875	10.4375	-23.0625	-2.304484	1.3202649	1.5297235
1276778266284	-1.6480621	0.08172209	7.273266	-2.348555	0.0	14.625	10.6875	-23.5625	-2.2124243	1.3477026	1.5212501
1276778266324	-3.255263	-0.23154591	9.112013	-0.12785244	0.0	13.625	10.4375	-24.0625	-2.088485	1.2268776	1.6418065
1276778266364	-3.3642259	0.040861044	9.656827	0.41949272	0.0	12.875	10.6875	-24.0625	-1.9337535	1.2355443	1.5586512
1276778266404	-4.140586	-0.27240697	8.662541	-0.20153236	0.0	13.125	11.1875	-23.5625	-1.7899507	1.1240724	1.6364912
1276778266444	-4.862464	-0.61291564	8.962189	0.40804672	0.0	14.375	11.6875	-23.3125	-1.8311884	1.0703776	1.6961855
1276778266484	-3.0645783	-0.6537767	8.894087	-0.37670612	0.0	14.625	12.4375	-22.8125	-2.3129973	1.2320589	1.7809789
1276778266524	-1.7978859	-0.29964766	10.038197	0.39568138	0.0	14.625	13.5	-22.5625	-2.4178028	1.3911786	1.735945
1276778266564	-3.214402	0.040861044	10.56939	1.2407961	0.0	13.375	14.0	-23.0625	-1.96621	1.2755381	1.5580852
1276778266604	-1.1849703	-0.46309182	9.00305	-0.71415234	0.0	11.625	14.5	-23.0625	-2.5116198	1.430413	1.9433506
1276778266644	-0.88532263	-1.2258313	9.765789	0.075510025	0.0	10.125	15.75	-23.5625	-3.073554	1.4171797	2.5161076
1276778266684	-1.9885708	-1.4165162	10.038197	0.5241928	0.0	9.625	16.75	-23.8125	-2.527607	1.3322079	2.1897488
1276778266724	-1.0760075	-2.1111538	9.234595	-0.2728939	0.0	8.625	18.5	-22.8125	-3.0907922	1.3196205	2.670233
1276778266764	-1.4165162	-2.3426998	9.234595	-0.17480183	0.0	8.125	20.5	-22.5625	-2.893676	1.2825936	2.5977602
1276778266804	-1.7297841	-2.2201166	9.043911	-0.33493423	0.0	7.875	21.75	-21.5625	-2.6857858	1.2690988	2.4797006
1276778266844	-2.1792557	-2.1111538	9.466142	0.13387108	0.0	7.375	23.25	-20.3125	-2.4597027	1.2606151	2.3403227
1276778266884	-1.525479	-2.8330324	8.390134	-0.82068825	0.0	7.875	24.0	-20.3125	-2.8697064	1.2045926	2.6476512
1276778266934	-2.4925237	-3.7864566	8.158588	-0.47324276	0.0	8.375	24.25	-19.5625	-2.6634407	1.0636367	2.5594232
1276778266974	-3.1054392	-2.9147544	9.466142	0.57349396	0.0	9.125	24.5	-19.0625	-2.4322767	1.1480045	2.3245308
1276778267014	0.040861044	-2.4925237	8.349273	-1.0931721	0.0	9.375	25.0	-19.3125	2.6501675	1.2806501	-3.1252007
1276778267054	-3.3642259	-1.7297841	9.343558	0.27363968	0.0	9.375	25.5	-19.0625	-2.1250095	1.1861033	2.0457156
1276778267094	-3.445948	-1.920469	8.430995	-0.4983511	0.0	8.375	26.25	-19.8125	-2.0503392	1.133147	2.0792363
1276778267124	-1.56634	-1.9885708	9.656827	0.1764431	0.0	7.375	26.5	-20.3125	-2.6413927	1.3144314	2.4744146
1276778267154	-0.7627395	-1.6889231	9.084772	-0.53479385	0.0	6.375	25.5	-21.0625	-2.9234002	1.369571	2.7173982
1276778267184	-0.9125633	-2.3699405	7.9679036	-1.4438229	0.0	5.375	25.25	-21.8125	-2.9158535	1.2622508	2.7740338
1276778267224	-1.1849703	-2.6423476	9.193735	-0.16761875	0.0	5.125	23.75	-22.0625	-2.8370597	1.2656494	2.7200255
1276778267264	-2.1111538	-2.3426998	8.921328	-0.34434032	0.0	4.0625	23.0	-22.8125	-2.3004272	1.2310152	2.4081354
1276778267304	-2.1792557	-1.2666923	9.00305	-0.4573946	0.0	3.8125	22.75	-23.3125	-1.989386	1.2978085	2.0973148
1276778267344	-1.9885708	-0.84446156	8.580819	-0.95803547	0.0	3.3125	22.0	-23.5625	-1.8552802	1.3241466	1.9723768
1276778267384	-2.7513103	-1.334794	9.152874	-0.1564436	0.0	4.0625	22.0	-23.5625	-1.8470101	1.2483531	2.0224922
1276778267424	-3.0237172	-3.0645783	10.378705	1.4295425	0.0	5.625	22.0	-23.3125	-2.2468264	1.1775898	2.3629057
1276778267464	-2.4108016	-3.6774938	9.847511	0.97803307	0.0	6.125	22.75	-23.0625	-2.554021	1.1508273	2.5613217
1276778267504	-2.8738933	-2.6832085	9.956474	0.89803314	0.0	6.875	23.0	-22.8125	-2.3029852	1.1946973	2.3218942
1276778267544	-2.7240696	-1.6480621	9.343558	0.064455986	0.0	6.875	23.25	-22.5625	-2.1058927	1.2423862	2.1148841
1276778267584	-3.1463003	0.3405087	9.084772	-0.18645096	0.0	6.375	23.25	-22.5625	-1.412502	1.235593	1.4629908
1276778267624	-3.255263	-0.88532263	10.460427	1.1843042	0.0	7.125	22.25	-22.3125	-1.8326123	1.2588259	1.8363402
1276778267654	-3.3642259	-2.4516625	11.304889	2.2403069	0.0	7.875	21.25	-22.8125	-2.2359955	1.2179763	2.2005548
1276778267694	-2.5333846	-2.6832085	11.413852	2.188918	0.0	8.875	18.75	-23.5625	-2.6332736	1.258094	2.3849072
